Energy (MeV),Be7_Flux (cm^{-2} s^{-1}),pep_Flux (cm^{-2} s^{-1})
3.920000e-01,2.250607e-09,4.536857e-87
3.930000e-01,2.715564e-09,6.898020e-87
3.940000e-01,3.275268e-09,1.048383e-86
3.950000e-01,3.948753e-09,1.592730e-86
3.960000e-01,4.758820e-09,2.418746e-86
3.970000e-01,5.732775e-09,3.671680e-86
3.980000e-01,6.903301e-09,5.571417e-86
3.990000e-01,8.309503e-09,8.450701e-86
4.000000e-01,9.998147e-09,1.281286e-85
4.010000e-01,1.202514e-08,1.941895e-85
4.020000e-01,1.445730e-08,2.941925e-85
4.030000e-01,1.737443e-08,4.455166e-85
4.040000e-01,2.087182e-08,6.744074e-85
4.050000e-01,2.506318e-08,1.020486e-84
4.060000e-01,3.008419e-08,1.543541e-84
4.070000e-01,3.609664e-08,2.333756e-84
4.080000e-01,4.329338e-08,3.527111e-84
4.090000e-01,5.190420e-08,5.328550e-84
4.100000e-01,6.220278e-08,8.046838e-84
4.110000e-01,7.451495e-08,1.214696e-83
4.120000e-01,8.922843e-08,1.832890e-83
4.130000e-01,1.068045e-07,2.764595e-83
4.140000e-01,1.277915e-07,4.168241e-83
4.150000e-01,1.528412e-07,6.282036e-83
4.160000e-01,1.827282e-07,9.463990e-83
4.170000e-01,2.183719e-07,1.425195e-82
4.180000e-01,2.608641e-07,2.145363e-82
4.190000e-01,3.115001e-07,3.228149e-82
4.200000e-01,3.718162e-07,4.855485e-82
4.210000e-01,4.436339e-07,7.300253e-82
4.220000e-01,5.291118e-07,1.097159e-81
4.230000e-01,6.308069e-07,1.648266e-81
4.240000e-01,7.517469e-07,2.475207e-81
4.250000e-01,8.955157e-07,3.715539e-81
4.260000e-01,1.066353e-06,5.575176e-81
4.270000e-01,1.269273e-06,8.362220e-81
4.280000e-01,1.510204e-06,1.253750e-80
4.290000e-01,1.796148e-06,1.878998e-80
4.300000e-01,2.135380e-06,2.814934e-80
4.310000e-01,2.537665e-06,4.215376e-80
4.320000e-01,3.014532e-06,6.310020e-80
4.330000e-01,3.579576e-06,9.441726e-80
4.340000e-01,4.248834e-06,1.412207e-79
4.350000e-01,5.041202e-06,2.111405e-79
4.360000e-01,5.978947e-06,3.155521e-79
4.370000e-01,7.088293e-06,4.714080e-79
4.380000e-01,8.400107e-06,7.039617e-79
4.390000e-01,9.950716e-06,1.050818e-78
4.400000e-01,1.178284e-05,1.567949e-78
4.410000e-01,1.394672e-05,2.338638e-78
4.420000e-01,1.650139e-05,3.486745e-78
4.430000e-01,1.951619e-05,5.196413e-78
4.440000e-01,2.307257e-05,7.741292e-78
4.450000e-01,2.726611e-05,1.152788e-77
4.460000e-01,3.220895e-05,1.715979e-77
4.470000e-01,3.803263e-05,2.553292e-77
4.480000e-01,4.489132e-05,3.797654e-77
4.490000e-01,5.296570e-05,5.646204e-77
4.500000e-01,6.246738e-05,8.391200e-77
4.510000e-01,7.364413e-05,1.246573e-76
4.520000e-01,8.678593e-05,1.851134e-76
4.530000e-01,1.022320e-04,2.747794e-76
4.540000e-01,1.203789e-04,4.077151e-76
4.550000e-01,1.416904e-04,6.047219e-76
4.560000e-01,1.667081e-04,8.965630e-76
4.570000e-01,1.960647e-04,1.328716e-75
4.580000e-01,2.304985e-04,1.968385e-75
4.590000e-01,2.708715e-04,2.914835e-75
4.600000e-01,3.181887e-04,4.314638e-75
4.610000e-01,3.736220e-04,6.384118e-75
4.620000e-01,4.385371e-04,9.442430e-75
4.630000e-01,5.145252e-04,1.396024e-74
4.640000e-01,6.034387e-04,2.063138e-74
4.650000e-01,7.074341e-04,3.047825e-74
4.660000e-01,8.290202e-04,4.500679e-74
4.670000e-01,9.711146e-04,6.643429e-74
