Energy_MeV,Flux
2.552727e+00,1.096452e+05
2.560805e+00,1.101522e+05
2.568883e+00,1.106345e+05
2.576961e+00,1.110902e+05
2.585040e+00,1.115289e+05
2.593118e+00,1.119630e+05
2.601196e+00,1.123920e+05
2.609274e+00,1.128156e+05
2.617353e+00,1.132337e+05
2.625431e+00,1.136460e+05
2.633509e+00,1.140521e+05
2.641587e+00,1.144518e+05
2.649666e+00,1.148448e+05
2.657744e+00,1.152308e+05
2.665822e+00,1.156096e+05
2.673900e+00,1.159808e+05
2.681979e+00,1.163443e+05
2.690057e+00,1.166996e+05
2.698135e+00,1.170466e+05
2.706213e+00,1.173850e+05
2.714292e+00,1.177144e+05
2.722370e+00,1.180347e+05
2.730448e+00,1.183455e+05
2.738526e+00,1.186465e+05
2.746605e+00,1.189375e+05
2.754683e+00,1.192182e+05
2.762761e+00,1.194883e+05
2.770839e+00,1.197476e+05
2.778918e+00,1.199957e+05
2.786996e+00,1.202318e+05
2.795074e+00,1.204530e+05
2.803152e+00,1.206601e+05
2.811231e+00,1.208544e+05
2.819309e+00,1.210371e+05
2.827387e+00,1.212097e+05
2.835465e+00,1.213734e+05
2.843544e+00,1.215295e+05
2.851622e+00,1.216793e+05
2.859700e+00,1.218241e+05
2.867778e+00,1.219653e+05
2.875857e+00,1.221041e+05
2.883935e+00,1.222418e+05
2.892013e+00,1.223797e+05
2.900091e+00,1.225192e+05
2.908170e+00,1.226615e+05
2.916248e+00,1.228080e+05
2.924326e+00,1.229598e+05
2.932404e+00,1.231185e+05
2.940483e+00,1.232852e+05
2.948561e+00,1.234612e+05
2.956639e+00,1.236479e+05
2.964717e+00,1.238466e+05
2.972795e+00,1.240585e+05
2.980874e+00,1.242850e+05
2.988952e+00,1.245274e+05
2.997030e+00,1.247869e+05
3.005108e+00,1.250732e+05
3.013187e+00,1.254122e+05
3.021265e+00,1.258030e+05
3.029343e+00,1.262424e+05
3.037421e+00,1.267273e+05
3.045500e+00,1.272547e+05
3.053578e+00,1.278215e+05
3.061656e+00,1.284245e+05
3.069734e+00,1.290606e+05
3.077813e+00,1.297268e+05
3.085891e+00,1.304199e+05
3.093969e+00,1.311369e+05
3.102047e+00,1.318746e+05
3.110126e+00,1.326299e+05
3.118204e+00,1.333997e+05
3.126282e+00,1.341810e+05
3.134360e+00,1.349706e+05
3.142439e+00,1.357655e+05
3.150517e+00,1.365624e+05
3.158595e+00,1.373584e+05
3.166673e+00,1.381503e+05
3.174752e+00,1.389351e+05
3.182830e+00,1.397095e+05
3.190908e+00,1.404706e+05
3.198986e+00,1.412152e+05
3.207065e+00,1.419402e+05
3.215143e+00,1.426425e+05
3.223221e+00,1.433190e+05
3.231299e+00,1.439667e+05
3.239378e+00,1.445823e+05
3.247456e+00,1.451629e+05
3.255534e+00,1.457052e+05
3.263612e+00,1.462109e+05
3.271691e+00,1.467010e+05
3.279769e+00,1.471792e+05
3.287847e+00,1.476462e+05
3.295925e+00,1.481027e+05
3.304004e+00,1.485494e+05
3.312082e+00,1.489869e+05
3.320160e+00,1.494159e+05
3.328238e+00,1.498371e+05
3.336317e+00,1.502512e+05
3.344395e+00,1.506589e+05
3.352473e+00,1.510609e+05
3.360551e+00,1.514577e+05
3.368630e+00,1.518502e+05
3.376708e+00,1.522390e+05
3.384786e+00,1.526247e+05
3.392864e+00,1.530081e+05
3.400943e+00,1.533899e+05
3.409021e+00,1.537706e+05
3.417099e+00,1.541511e+05
3.425177e+00,1.545319e+05
3.433256e+00,1.549138e+05
3.441334e+00,1.552975e+05
3.449412e+00,1.556835e+05
3.457490e+00,1.560727e+05
3.465569e+00,1.564657e+05
3.473647e+00,1.568631e+05
3.481725e+00,1.572657e+05
3.489803e+00,1.576741e+05
3.497882e+00,1.580899e+05
3.505960e+00,1.585146e+05
3.514038e+00,1.589474e+05
3.522116e+00,1.593874e+05
3.530195e+00,1.598336e+05
3.538273e+00,1.602851e+05
3.546351e+00,1.607409e+05
3.554429e+00,1.612001e+05
3.562508e+00,1.616618e+05
3.570586e+00,1.621250e+05
3.578664e+00,1.625888e+05
3.586742e+00,1.630522e+05
3.594821e+00,1.635143e+05
3.602899e+00,1.639742e+05
3.610977e+00,1.644309e+05
3.619055e+00,1.648835e+05
3.627134e+00,1.653310e+05
3.635212e+00,1.657726e+05
3.643290e+00,1.662072e+05
3.651368e+00,1.666339e+05
3.659447e+00,1.670518e+05
3.667525e+00,1.674600e+05
3.675603e+00,1.678575e+05
3.683681e+00,1.682433e+05
3.691760e+00,1.686166e+05
3.699838e+00,1.689764e+05
