E_nu_MeV,X_times_N_anti_nu_mu
1.43312613e+01,4.60209801e+04
1.43841441e+01,4.63234762e+04
1.44370270e+01,4.66266690e+04
1.44899099e+01,4.69305557e+04
1.45427928e+01,4.72351330e+04
1.45956757e+01,4.75403980e+04
1.46485586e+01,4.78463476e+04
1.47014414e+01,4.81529786e+04
1.47543243e+01,4.84602882e+04
1.48072072e+01,4.87682731e+04
1.48600901e+01,4.90769304e+04
1.49129730e+01,4.93862569e+04
1.49658559e+01,4.96962496e+04
1.50187387e+01,5.00069055e+04
1.50716216e+01,5.03182214e+04
1.51245045e+01,5.06301944e+04
1.51773874e+01,5.09428213e+04
1.52302703e+01,5.12560991e+04
1.52831532e+01,5.15700247e+04
1.53360360e+01,5.18845951e+04
1.53889189e+01,5.21998072e+04
1.54418018e+01,5.25156579e+04
1.54946847e+01,5.28321442e+04
1.55475676e+01,5.31492630e+04
1.56004505e+01,5.34670112e+04
1.56533333e+01,5.37853858e+04
1.57062162e+01,5.41043838e+04
1.57590991e+01,5.44240020e+04
1.58119820e+01,5.47442374e+04
1.58648649e+01,5.50650869e+04
1.59177477e+01,5.53865475e+04
1.59706306e+01,5.57086161e+04
1.60235135e+01,5.60312897e+04
1.60763964e+01,5.63545651e+04
1.61292793e+01,5.66784393e+04
1.61821622e+01,5.70029093e+04
1.62350450e+01,5.73279720e+04
1.62879279e+01,5.76536243e+04
1.63408108e+01,5.79798632e+04
1.63936937e+01,5.83066856e+04
1.64465766e+01,5.86340884e+04
1.64994595e+01,5.89620686e+04
1.65523423e+01,5.92906231e+04
1.66052252e+01,5.96197489e+04
1.66581081e+01,5.99494428e+04
1.67109910e+01,6.02797019e+04
1.67638739e+01,6.06105230e+04
1.68167568e+01,6.09419031e+04
1.68696396e+01,6.12738392e+04
1.69225225e+01,6.16063281e+04
1.69754054e+01,6.19393669e+04
1.70282883e+01,6.22729524e+04
1.70811712e+01,6.26070815e+04
1.71340541e+01,6.29417513e+04
1.71869369e+01,6.32769587e+04
1.72398198e+01,6.36127005e+04
1.72927027e+01,6.39489738e+04
1.73455856e+01,6.42857754e+04
1.73984685e+01,6.46231023e+04
1.74513514e+01,6.49609515e+04
1.75042342e+01,6.52993199e+04
1.75571171e+01,6.56382044e+04
1.76100000e+01,6.59776019e+04
1.76628829e+01,6.63175094e+04
1.77157658e+01,6.66579239e+04
1.77686486e+01,6.69988422e+04
1.78215315e+01,6.73402613e+04
1.78744144e+01,6.76821781e+04
1.79272973e+01,6.80245896e+04
1.79801802e+01,6.83674928e+04
1.80330631e+01,6.87108845e+04
1.80859459e+01,6.90547616e+04
1.81388288e+01,6.93991212e+04
1.81917117e+01,6.97439602e+04
1.82445946e+01,7.00892754e+04
1.82974775e+01,7.04350639e+04
1.83503604e+01,7.07813225e+04
1.84032432e+01,7.11280483e+04
1.84561261e+01,7.14752381e+04
1.85090090e+01,7.18228889e+04
1.85618919e+01,7.21709976e+04
1.86147748e+01,7.25195611e+04
1.86676577e+01,7.28685765e+04
1.87205405e+01,7.32180406e+04
1.87734234e+01,7.35679503e+04
1.88263063e+01,7.39183027e+04
1.88791892e+01,7.42690945e+04
1.89320721e+01,7.46203229e+04
1.89849550e+01,7.49719847e+04
1.90378378e+01,7.53240768e+04
1.90907207e+01,7.56765962e+04
1.91436036e+01,7.60295399e+04
1.91964865e+01,7.63829047e+04
1.92493694e+01,7.67366876e+04
1.93022523e+01,7.70908856e+04
1.93551351e+01,7.74454955e+04
1.94080180e+01,7.78005143e+04
1.94609009e+01,7.81559390e+04
1.95137838e+01,7.85117665e+04
1.95666667e+01,7.88679936e+04
1.96195495e+01,7.92246175e+04
1.96724324e+01,7.95816349e+04
1.97253153e+01,7.99390429e+04
1.97781982e+01,8.02968383e+04
1.98310811e+01,8.06550182e+04
1.98839640e+01,8.10135794e+04
1.99368468e+01,8.13725188e+04
1.99897297e+01,8.17318335e+04
2.00426126e+01,8.20915204e+04
2.00954955e+01,8.24515763e+04
2.01483784e+01,8.28119983e+04
2.02012613e+01,8.31727832e+04
2.02541441e+01,8.35339280e+04
2.03070270e+01,8.38954297e+04
2.03599099e+01,8.42572851e+04
2.04127928e+01,8.46194913e+04
2.04656757e+01,8.49820451e+04
2.05185586e+01,8.53449435e+04
2.05714414e+01,8.57081834e+04
2.06243243e+01,8.60717618e+04
2.06772072e+01,8.64356756e+04
2.07300901e+01,8.67999217e+04
2.07829730e+01,8.71644971e+04
2.08358559e+01,8.75293987e+04
2.08887387e+01,8.78946235e+04
2.09416216e+01,8.82601683e+04
2.09945045e+01,8.86260301e+04
2.10473874e+01,8.89922059e+04
2.11002703e+01,8.93586926e+04
2.11531532e+01,8.97254872e+04
2.12060360e+01,9.00925865e+04
2.12589189e+01,9.04599875e+04
2.13118018e+01,9.08276871e+04
2.13646847e+01,9.11956824e+04
2.14175676e+01,9.15639701e+04
2.14704505e+01,9.19325473e+04
2.15233333e+01,9.23014109e+04
2.15762162e+01,9.26705578e+04
2.16290991e+01,9.30399850e+04
2.16819820e+01,9.34096894e+04
2.17348649e+01,9.37796679e+04
