E_MeV,phi_25m_2_per_MeV_cm2_s
9.1875,239488911.2
9.2125,233171955.9
9.2375,226058958.2
9.2625,218577614.7
9.2875,212065114.9
9.3125,206301048.5
9.3375,200878962.3
9.3625,195115182.5
9.3875,187441846.5
9.4125,182143788.6
9.4375,176602973.4
9.4625,171468177.2
9.4875,164200461.2
9.5125,160117075.4
9.5375,154574085.4
9.5625,147425711.8
9.5875,144005943.5
9.6125,140569548.3
9.6375,137155499
9.6625,133763427
9.6875,130242554.1
9.7125,127108444
9.7375,122818656.2
9.7625,119227599.7
9.7875,116282585.8
9.8125,113559512.9
9.8375,110898183.8
9.8625,108308262.9
9.8875,105699061.1
9.9125,102900551.3
9.9375,100214631.9
9.9625,97785795.61
9.9875,95296170.46
10.0125,92850283.43
10.0375,90133620.5
10.0625,87502546.87
10.0875,84966287.06
10.1125,82484027.12
10.1375,80527084.14
10.1625,78612692.71
10.1875,76649958.06
10.2125,74703049.89
10.2375,72450451.05
10.2625,70516588.29
10.2875,68479942
10.3125,66834936.27
10.3375,65159541.35
10.3625,63351321.04
10.3875,61637750.89
10.4125,59879718.15
10.4375,57618753.16
10.4625,56081271.3
10.4875,54550355.43
10.5125,53180996.27
10.5375,51717493.3
10.5625,50379892.88
10.5875,49209310.35
10.6125,47970938.84
10.6375,46577317.11
10.6625,45443085.84
10.6875,44332799.31
10.7125,43224327.25
10.7375,41989442.47
10.7625,40931027.63
10.7875,39922182.53
10.8125,38934848.14
10.8375,37942904.54
10.8625,36990892.53
10.8875,35716767.27
10.9125,34450836.27
10.9375,33599441.23
10.9625,32588178.85
10.9875,31758265.09
11.0125,30869962.35
11.0375,30016162.77
11.0625,29201628.1
11.0875,28257048.45
11.1125,27361452.9
11.1375,26591129.8
11.1625,25803612.3
11.1875,25097317.3
11.2125,24406783.27
11.2375,23694952.55
11.2625,23010367.79
11.2875,22348172.27
11.3125,21663114.39
11.3375,21003701.61
11.3625,20369893.96
11.3875,19742218.03
11.4125,19118272.29
11.4375,18503929.86
11.4625,17857995.22
11.4875,17247171.06
11.5125,16633806.4
11.5375,16042848.03
11.5625,15390759.57
11.5875,14814240.11
11.6125,14273100.21
11.6375,13719312.8
11.6625,13199790.91
11.6875,12681366.1
11.7125,12120220.29
11.7375,11550779.34
11.7625,10861648.08
11.7875,9768131.197
11.8125,9396582.021
11.8375,9031587.839
11.8625,8671536.168
11.8875,8343261.142
11.9125,8020926.133
11.9375,7712447.633
11.9625,7409176.244
11.9875,7088220.598
12.0125,6768875.206
12.0375,6449031.894
12.0625,6177204.567
12.0875,5908182.943
12.1125,5637865.653
12.1375,5378539.993
