E_MeV,phi_500m_1_per_MeV_cm2_s,dphi_500m_1_per_MeV_cm2_s
5.9625,603248526.2621955,16951439.981315088
5.9875,588927054.6711218,18335371.173369583
6.0125,572225616.5558501,18785825.38542324
6.0375,551521740.9985358,18278189.718134366
6.0625,532632519.5244453,17055833.799555875
6.0875,516643489.8267979,17617748.368049365
6.1125,500241878.43991953,16949554.727214888
6.1375,488225262.1667455,16581953.921559557
6.1625,475806949.3453298,16385740.387933105
6.1875,463999944.63146716,15830615.66498123
6.2125,449855955.3195394,15736127.883758366
6.2375,430352707.2181825,13718192.798075479
6.2625,419252905.4959716,13279169.52632555
6.2875,407787081.22861797,13259294.350114465
6.3125,397226931.9421294,12924278.031069743
6.3375,386708719.9013857,12750930.95205371
6.3625,376307384.1582072,12397968.904417804
6.3875,364707325.02908427,12771965.935797885
6.4125,346567916.5084845,12487189.53668875
6.4375,337960435.2689102,12177393.853547756
6.4625,329163559.9047818,12246688.929052435
6.4875,320238916.1882641,12269352.26614177
6.5125,311845580.6006468,11947634.967589812
6.5375,303627118.70242983,11644057.822834192
6.5625,295373609.8859009,13697216.984279308
6.5875,284676238.9611524,13239700.507362243
6.6125,275549292.02318805,12960437.377911184
6.6375,267918576.43775693,11419276.692721834
6.6625,259689603.5752719,11053354.705191337
6.6875,251726005.52746287,10694750.445636699
6.7125,243631033.14775828,10355510.135165418
6.7375,236307110.94688597,10011084.729022037
6.7625,228733281.97664407,9743279.656430507
6.7875,220620038.26830894,9398664.146580704
6.8125,212783057.6960033,9093777.390440699
6.8375,201109658.27014276,9404255.827010093
6.8625,194594887.0071,9066639.998959461
6.8875,188520345.1659503,8731686.431699786
6.9125,182428363.31562677,8745939.956885565
6.9375,175064872.13386905,8070626.222131492
6.9625,167366758.13932052,7345259.478843788
6.9875,161073694.94951624,9094754.709726958
7.0125,155648722.51415327,8662742.557298262
7.0375,150031568.7801461,8339367.983132256
7.0625,144830755.16492617,7199467.813532095
7.0875,139833257.99359447,7037376.815179175
7.1125,121872910.18055002,6888215.079779345
7.1375,116114268.21189298,6264325.928059144
7.1625,112470765.18275644,6596543.812868719
7.1875,108862555.34271565,6394977.35272534
7.2125,105058687.6515058,6201636.209029467
7.2375,100260665.59763072,6170467.451514872
7.2625,96982505.89853895,5965047.227091854
7.2875,93678435.5676956,6221825.2333173435
7.3125,90555700.25025655,6081680.397089815
7.3375,84369440.17774804,5261976.200294847
7.3625,81097156.47743396,5112670.160005727
7.3875,77350388.62406835,4253111.528506633
7.4125,73478013.89038388,4000198.539814551
7.4375,71131138.8446945,3908396.546862302
7.4625,68476473.09382403,3807237.719901803
7.4875,65520541.91474529,3722581.9162458526
7.5125,63076387.07477417,3901914.7277761833
7.5375,60947432.70380064,3808458.526056793
7.5625,58980201.63251211,3833615.3022789406
7.5875,57042628.422119536,3952404.048114256
7.6125,55141002.656978585,3854529.905730103
7.6375,52918538.81307484,3751775.334502262
7.6625,50888212.91807313,3662660.2379604476
7.6875,49082027.24499981,3613075.6372598326
7.7125,47380411.31327342,3488620.048984172
7.7375,45661180.10666931,3390033.1992060547
7.7625,43981780.12269202,3490498.112950279
7.7875,42306261.01227945,3390956.890623243
7.8125,40552766.2939472,3285754.554692432
7.8375,38896892.291074395,3161850.7510069534
7.8625,37143057.896054626,3185750.590454332
7.8875,35064835.928793505,3112169.3530271617
7.9125,33596268.556433424,3015545.147269674
7.9375,32199041.640362844,2958897.448419045
7.9625,30825230.95518837,2883921.154784599
7.9875,29315711.323425155,2789876.6399498284
8.0125,27681741.52350522,2668885.4361217343
8.0375,26373866.51514465,2620783.215649766
8.0625,25197221.68523082,2533093.913782252
8.0875,22292011.709452644,2823568.760963728
8.1125,14751948.33732184,2495782.2591388365
8.1375,14073366.92648628,2334468.920261319
8.1625,13502941.048107166,2252905.8007426555
8.1875,12942886.163417276,2171494.795512359
8.2125,12268411.971259302,2955311.9708816074
8.2375,11613819.616333356,2832775.5939412424
8.2625,11213864.0407498,2714269.4726835727
8.2875,10852280.13585346,2173015.15185548
8.3125,10471967.787246715,2094067.0582125424
8.3375,10060713.47126791,2000852.1291155373
8.3625,9700206.119536893,1910063.8487305755
8.3875,9342641.738241723,1862637.9733557885
8.4125,9003871.412946077,1777433.666916454
8.4375,8570573.649388192,1692657.0820490764
8.4625,8165329.184022445,1624257.304174631
8.4875,7854329.636900992,1486479.9367515128
8.5125,7553450.491538397,1410410.3408776377
8.5375,7240862.062289721,1336892.3850666296
8.5625,6884203.662949665,1495755.6544395525
8.5875,6614492.069550212,1406632.8389861854
8.6125,6351718.191005029,1320947.886263666
8.6375,5986997.126804085,1265796.287716433
8.6625,5704619.609898274,1187333.5529660727
8.6875,5369596.403125679,985333.6580947591
8.7125,4862776.958382866,727253.9898914894
8.7375,4629234.13590412,735340.5074983651
8.7625,4433876.130822199,699820.4625961268
8.7875,4244291.613094308,667980.7011754247
8.8125,4043562.339892483,638332.5061247385
8.8375,3821250.5146760833,616241.2843308585
8.8625,3580677.114866766,587610.9163761031
8.8875,3360412.845235697,520723.99085019546
8.9125,3182714.7963781515,500888.51107947744
8.9375,3059464.28220949,483505.9817744377
8.9625,2942286.5622028997,469636.8424608287
