E_MeV,phi_25m_1_per_MeV_cm2_s
8.6875,370380852.09 
8.7125,335421759.50 
8.7375,319312580.51 
8.7625,305837291.31 
8.7875,292760242.32 
8.8125,278914456.97 
8.8375,263579963.07 
8.8625,246985833.07 
8.8875,231792574.25 
8.9125,219535423.10 
8.9375,211033921.86 
8.9625,202951306.24 
8.9875,175473302.55 
9.0125,163316438.65 
9.0375,157557815.19 
9.0625,150873710.59 
9.0875,143214579.31 
9.1125,137277485.07 
9.1375,132128559.89 
9.1625,127519636.31 
9.1875,123894935.97 
9.2125,120626981.85 
9.2375,116947210.66 
9.2625,113076882.94 
9.2875,109707767.66 
9.3125,106725839.89 
9.3375,103920828.93 
9.3625,100939049.38 
9.3875,96969398.08 
9.4125,94228550.75 
9.4375,91362117.66 
9.4625,88705730.56 
9.4875,84945918.89 
9.5125,82833458.54 
9.5375,79965900.35 
9.5625,76267828.14 
9.5875,74498677.45 
9.6125,72720925.14 
9.6375,70954733.03 
9.6625,69199910.52 
9.6875,67378455.28 
9.7125,65757084.34 
9.7375,63537845.92 
9.7625,61680082.59 
9.7875,60156536.87 
9.8125,58747808.01 
9.8375,57371021.13 
9.8625,56031175.86 
9.8875,54681355.97 
9.9125,53233601.32 
9.9375,51844093.08 
9.9625,50587581.80 
9.9875,49299622.59 
10.0125,48034290.45 
10.0375,46628877.65 
10.0625,45267742.82 
10.0875,43955658.08 
10.1125,42671509.12 
10.1375,41659122.68 
10.1625,40668749.46 
10.1875,39653366.82 
10.2125,38646171.70 
10.2375,37480833.44 
10.2625,36480387.11 
10.2875,35426767.72 
10.3125,34575755.96 
10.3375,33709022.95 
10.3625,32773575.29 
10.3875,31887093.06 
10.4125,30977608.98 
10.4375,29807942.66 
10.4625,29012556.29 
10.4875,28220566.70 
10.5125,27512155.34 
10.5375,26755040.51 
10.5625,26063058.92 
10.5875,25457480.78 
10.6125,24816833.33 
10.6375,24095870.21 
10.6625,23509097.69 
10.6875,22934712.52 
10.7125,22361266.04 
10.7375,21722422.38 
10.7625,21174872.03 
10.7875,20652965.61 
10.8125,20142187.34 
10.8375,19629024.59 
10.8625,19136519.67 
10.8875,18477375.72 
10.9125,17822470.91 
10.9375,17382018.22 
10.9625,16858861.28 
10.9875,16429521.52 
11.0125,15969975.35 
11.0375,15528278.72 
11.0625,15106895.03 
11.0875,14618235.10 
11.1125,14154916.14 
11.1375,13756404.45 
11.1625,13348997.57 
11.1875,12983609.57 
11.2125,12626375.20 
11.2375,12258123.41 
11.2625,11903966.78 
11.2875,11561392.79 
11.3125,11206991.41 
11.3375,10865857.02 
11.3625,10537968.94 
11.3875,10213252.99 
11.4125,9890466.78 
11.4375,9572648.66 
11.4625,9238486.92 
11.4875,8922488.91 
11.5125,8605176.61 
11.5375,8299455.78 
11.5625,7962110.49 
11.5875,7663859.34 
11.6125,7383911.13 
11.6375,7097419.97 
11.6625,6828655.41 
11.6875,6560458.41 
11.7125,6270160.52 
